NUTSID,NUTSName,PASOK,ND,KKE,LA.O.S,SYRIZA,OIK.PRAS,PA.M.ME.,KEK,Drasi,ELL.OIK.,D.V.E.OIK.,ChrysiAygi,ANTARSYA,EN.KENT.,MLKKE,LEYKO,Koinonia,EKAD,KOM.FIL.,KOM.NEON,EEK,ASKE,OT,FS,EL.EN.,OAKKE,PANAK,Electorate,Votes,Validvotes,Invalidvotes
GR412,Samos,7356,6332,4462,1344,1306,832,105,348,127,172,169,93,73,51,145,0,23,0,137,22,50,78,9,15,11,16,0,53983,24120,23276,844
GR413,Chios,11350,8967,1756,1466,1111,1134,155,655,114,217,191,72,113,66,63,0,29,4,42,12,22,17,21,14,25,18,0,65744,28548,27634,914
GR421,Dodekanisos,39740,24508,4164,5605,3104,3031,368,981,291,730,581,352,153,228,198,11,95,202,89,64,80,100,61,54,47,50,0,184486,87489,84887,2602
GR422,Kyklades,22301,20855,3328,3305,2963,2514,286,2231,444,479,472,243,208,193,173,0,100,153,74,47,85,52,29,49,41,32,0,122549,62612,60657,1955
GR431,Irakleio,85498,33236,7431,4755,6383,5871,408,613,681,907,672,238,381,170,213,5,66,107,278,78,73,84,49,76,29,43,0,247415,151721,148345,3376
GR432,Lasithi,22375,11171,1630,1364,1704,1500,158,442,148,340,216,46,66,58,62,0,33,57,84,11,36,45,20,18,19,14,1,69046,42751,41618,1133
GR433,Rethymni,19623,11058,1823,2133,1929,1662,150,280,244,296,228,79,127,70,62,7,28,54,379,29,21,27,17,28,22,18,1,70161,41265,40395,870
GR434,Chania,33164,19566,5242,4478,3634,3694,402,785,393,630,532,197,326,132,127,0,69,86,341,60,59,69,35,69,44,30,0,141044,75849,74164,1685
GRZZZ,Abroad votes,8527,10188,2397,1707,977,803,254,2,198,0,67,64,66,97,0,0,3,0,32,0,0,18,1,21,0,8,0,36413,25888,25430,458
GR11,"Anatoliki Makedonia, Thraki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR12,Kentriki Makedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR13,Dytiki Makedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR14,Thessalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR21,Ipeiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR22,Ionia Nisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR23,Dytiki Ellada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR24,Sterea Ellada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR25,Peloponnisos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR30,Attiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR41,Voreio Aigaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR42,Notio Aigaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR43,Kriti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZZ,Abroad votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR1,VOREIA ELLADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR2,KENTRIKI ELLADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR3,ATTIKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR4,"NISIA AIGAIOU, KRITI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZ,ABROAD VOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,GREECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133818
